H w z
2.91626030471 2.05133600977 1.99043638528
2.90477488099 2.04245911671 1.9903527223
2.89338921404 2.03364277385 1.99026866801
2.8821020506 2.02488630393 1.99018422202
2.87091215825 2.01618904005 1.99009938397
2.85981832497 2.00755032543 1.99001415347
2.84881935873 1.99896951322 1.98992853015
2.8379140873 1.99044596647 1.98984251363
2.82710135872 1.9819790587 1.98975610354
2.81638003899 1.97356817213 1.98966929948
2.80574901235 1.96521269805 1.9895821011
2.79520718105 1.95691203679 1.98949450802
2.78475346504 1.94866559752 1.98940651985
2.77438680154 1.94047279811 1.98931813623
2.76410614476 1.93233306494 1.98922935678
2.75391046549 1.92424583276 1.98914018112
2.74379875083 1.91621054449 1.98905060888
2.73377000383 1.90822665114 1.9889606397
2.72382324318 1.90029361158 1.98887027318
2.71395750287 1.89241089243 1.98877950897
2.70417183196 1.88457796793 1.9886883467
2.69446529421 1.87679431976 1.98859678598
2.68483696832 1.86905943733 1.98850482645
2.67528594896 1.8613728187 1.98841246773
2.66581134325 1.85373396783 1.98831970947
2.65641227174 1.84614239546 1.98822655128
2.6470878684 1.83859761922 1.9881329928
2.63783728032 1.8310991634 1.98803903365
2.62865966752 1.82364655895 1.98794467348
2.61955420263 1.81623934326 1.98784991192
2.61052007073 1.8088770601 1.98775474859
2.60155646905 1.80155925951 1.98765918314
2.59266260675 1.79428549764 1.98756321519
2.58383770475 1.7870553367 1.98746684438
2.57508099543 1.77986834482 1.98737007035
2.56639172248 1.77272409593 1.98727289273
2.55776914065 1.7656221697 1.98717531117
2.54921251595 1.75856215173 1.98707732529
2.54072112605 1.75154363396 1.98697893475
2.53229425821 1.74456621304 1.98688013917
2.5239312099 1.73762949088 1.98678093819
2.51563128874 1.7307330747 1.98668133147
2.50739381228 1.72387657687 1.98658131863
2.49921810783 1.71705961485 1.98648089933
2.49110351229 1.71028181113 1.9863800732
2.48304937198 1.70354279309 1.98627883989
2.47505504246 1.69684219297 1.98617719905
2.46711988839 1.69017964775 1.98607515032
2.45924328332 1.68355479911 1.98597269334
2.45142460959 1.6769672933 1.98586982776
2.44366325812 1.67041678111 1.98576655324
2.43595862833 1.66390291777 1.98566286942
2.42831012819 1.65742536313 1.98555877595
2.4207171745 1.6509837819 1.98545427249
2.41317919147 1.64457784249 1.98534935868
2.40569561114 1.63820721743 1.98524403417
2.39826587335 1.63187158341 1.98513829862
2.39088942553 1.62557062114 1.98503215169
2.38356572267 1.6193040153 1.98492559303
2.37629422708 1.61307145452 1.9848186223
2.36907440835 1.60687263126 1.98471123915
2.36190574318 1.60070724178 1.98460344325
2.3547877153 1.59457498608 1.98449523425
2.34771981529 1.58847556782 1.98438661181
2.34070154053 1.58240869429 1.9842775756
2.33373239505 1.57637407634 1.98416812528
2.32681188941 1.57037142829 1.98405826051
2.31993954086 1.56440046815 1.98394798095
2.31311487336 1.55846091764 1.98383728628
2.30633741667 1.55255250145 1.98372617616
2.29960670668 1.54667494759 1.98361465026
2.2929222853 1.54082798728 1.98350270825
2.28628370041 1.53501135497 1.98339034979
2.2796905057 1.52922478826 1.98327757456
2.27314226063 1.52346802784 1.98316438223
2.26663853029 1.51774081748 1.98305077248
2.26017888536 1.51204290394 1.98293674498
2.25376290197 1.50637403694 1.9828222994
2.24739016164 1.50073396915 1.98270743543
2.24106025119 1.49512245609 1.98259215274
2.23477276267 1.48953925612 1.98247645102
2.22852729322 1.48398413039 1.98236032994
2.22232344527 1.47845684296 1.98224378918
2.2161608264 1.47295716081 1.98212682843
2.21003904883 1.46748485334 1.98200944738
2.20395772957 1.46203969258 1.98189164571
2.19791649041 1.45662145314 1.9817734231
2.19191495781 1.45122991222 1.98165477925
2.18595276282 1.44586484953 1.98153571384
2.18002954102 1.44052604727 1.98141622657
2.17414493247 1.4352132901 1.98129631712
2.16829858161 1.42992636506 1.9811759852
2.16249013721 1.42466506162 1.9810552305
2.1567192523 1.41942917156 1.9809340527
2.15098558409 1.41421848898 1.98081245152
2.14528879394 1.40903281028 1.98069042665
2.13962854727 1.40387193407 1.98056797779
2.13400451372 1.3987356614 1.98044510465
2.12841636705 1.39362379566 1.98032180691
2.12286378461 1.38853614211 1.9801980843
2.11734644758 1.38347250814 1.98007393651
2.11186404091 1.37843270326 1.97994936325
2.1064162533 1.37341653901 1.97982436424
2.10100277707 1.368423829 1.97969893918
2.0956233082 1.36345438883 1.97957308778
2.09027754617 1.3585080361 1.97944680975
2.08496519401 1.35358459035 1.97932010482
2.07968595819 1.34868387306 1.97919297269
2.07443954856 1.34380570759 1.97906541308
2.06922567835 1.3389499192 1.97893742572
2.06404406409 1.33411633499 1.97880901032
2.05889442554 1.32930478387 1.9786801666
2.05377648569 1.32451509656 1.9785508943
2.04868997069 1.31974710556 1.97842119312
2.0436346098 1.31500064511 1.9782910628
2.03861013535 1.31027555117 1.97816050308
2.0336162827 1.30557166142 1.97802951366
2.02865279057 1.30088881555 1.9778980943
2.02371940088 1.29622685518 1.97776624471
2.01881585794 1.29158562309 1.97763396463
2.01394190899 1.28696496369 1.9775012538
2.00909730404 1.28236472302 1.97736811196
2.00428179592 1.27778474865 1.97723453884
1.99949514019 1.27322488974 1.97710053418
1.99473709513 1.26868499699 1.97696609772
1.99000742169 1.26416492261 1.97683122921
1.98530588345 1.2596645203 1.9766959284
